代码,汉字,div,division,newcode,yuhao,region
20155,𠅕,亠八𧘇乀,亠八乂二,ObTiRyOd,ObTiWlSi,CJK-B
20E82,𠺂,口大艹{畏下},口大龷二,LvGdSjGf,LvGdSjSi,CJK-B
2332A,𣌪,日丶{畏下},日亠乚二,JrOdGf,JrObXiSi,CJK-B
23E93,𣺓,氵{京頭}𧘇丶,氵亠口二,IsOlRyOd,IsObLvSi,CJK-B
24C90,𤲐,田艹{畏下},田龷乚二,JtSjGf,JtSjXiSi,CJK-B
2605F,𦁟,糹𠂆丅{畏下},糹⺁工二,BsEjAkGf,BsEjFoSi,CJK-B
262B7,𦊷,罒一𠃋𧘇,罒一丩二,MwFiXiRy,MwFiXgSi,CJK-B
2763E,𧘾,衤一𠃋𧘇,衤一丩二,PyFiXiRy,PyFiXgSi,CJK-B
28C57,𨱗,一丨人{畏下},一丨人二,FiNsTeGf,FiNsTeSi,CJK-B
2D22C,𭈬,十口人{畏下},土口人二,DiLvTeGf,HtLvTeSi,CJK-F
2E400,𮐀,艹亠儿𧘇,艹亠儿二,SjObQrRy,SjObQrSi,CJK-F
2E77E,𮝾,厂丅{畏下},厂工乚二,ShAkGf,ShFoXiSi,CJK-F
2298D,𢦍,戈㇒,弋,GgQp,GyTo,CJK-B
22991,𢦑,戈𰀪,弋彡,GgTo,GyTo,CJK-B
20008,𠀈,亻𠄎一,亻一𠄎,EeViFi,EeFiVi,CJK-B
200CE,𠃎,丨一,亅,NsFi,Vi,CJK-B
20137,𠄷,口口口一,口口一,LvLvLvFi,LvLvWyFi,CJK-B
20141,𠅁,亠丨一,亠亅,ObNsFi,ObVi,CJK-B
2069A,𠚚,了乛水凵,乛水了凵,VlViKvXg,ViKvVlXg,CJK-B
22115,𢄕,人文⺀巾,人亠凵巾,TePwSiMv,TeObXgMv,CJK-B
23D4A,𣵊,氵了三凵,氵凵了一,IsVlFaXg,IsXgVlFi,CJK-B
2D408,𭐈,土{微上}糸,土一糸,HtRiBs,HtRiFiBs,CJK-F
2D4A7,𭒧,女{微上}王,女一王,CnRiGn,CnRiFiGn,CJK-F
2E8DA,𮣚,釒{微上}王,金一王,WjRiGn,WjRiFiGn,CJK-F
23AC5,𣫅,{穀頭}⺈⺆土,⺈用,HfYmWyHt,HfYmTn,CJK-B
23AB8,𣪸,{穀頭}{舍下},一古,HfRe,HfFiDg,CJK-B
221CD,𢇍,幺幺一丨,幺幺一亅,VoVoFiNs,VoVoFiVi,CJK-B
20992,𠦒,𠀎十,一艹十,SjDi,FiSjDi,CJK-B
3D6E,㵮,氵大革一,氵大革,IsGdGeFi,IsGdGe,CJK-A
3DF8,㷸,火日{冓上}十,火日一,UoJrSjDi,UoJrFiAo,CJK-A
2000D,𠀍,卄𠃊,卌一,SjXi,SsFi,CJK-B
2001B,𠀛,二冂人,一大冂,SiKfTe,FiGdKf,CJK-B
20064,𠁤,囗儿,口儿,NwQr,LvQr,CJK-B
367F,㙿,土𦍌禾乃,土羊禾戈,HtUgRhVj,HtUgRhGg,CJK-A
20063,𠁣,冂二,丨彐,KfSi,NsXl,CJK-B
20072,𠁲,尸ココ{介下},ココ丨,BhBuBuTi,BuBuNsTi,CJK-B
2007F,𠁿,〢一亠,一丶凵,NsFiOb,FiOdXg,CJK-B
20081,𠂁,{介下}一亠,二丶,TiFiOb,TiSiOd,CJK-B
200A0,𠂠,㇒䒑𠃑,丿小丂,QpUeXi,QpMaSk,CJK-B
200A6,𠂦,川三,一,QcFa,TiFiAo,CJK-B
200DB,𠃛,冂二,乚一乛,KfSi,XiFiVi,CJK-B
20113,𠄓,儿乀丨,乚乀,QrOdNs,TiXiOd,CJK-B
20189,𠆉,亠厶十艹,亠厶丨艹,ObVvDiSj,ObVvNsSj,CJK-B
20237,𠈷,亻日丩,亻田丩,EeJrXg,EeJtXg,CJK-B
202D3,𠋓,𠆢小コ一,人小コ凵,TeMaBuFi,TeMaBuXg,CJK-B
2030B,𠌋,亻八𠆢𠂇,亻八人十,EeTiTeSo,EeTiTeDi,CJK-B
20483,𠒃,丨人人兀,丄人人儿,NsTeTeHw,KsTeTeQr,CJK-B
20485,𠒅,尸𠃊コ儿,凵コ匚儿,BhXiBuQr,XgBuGfQr,CJK-B
20486,𠒆,{向框}㐅兀,乂儿,RnWlHw,RnWlQr,CJK-B
20487,𠒇,{向框}丷兀,丿囗丷儿,RnUeHw,QpNwUeQr,CJK-B
20503,𠔃,䒑㇉,丷丂,UeXi,UeSk,CJK-B
2051C,𠔜,臼丄八,臼丨一八,RjKsTi,RjNsFiTi,CJK-B
2066F,𠙯,卄丆日几,卄一白几,SjDhJrQj,SjFiEbQj,CJK-B
2067F,𠙿,㇍丨二凵,乛丨一三,ViNsSiXg,ViNsFiFa,CJK-B
20699,𠚙,口一㐅巾,口凵又巾,LvFiWlMv,LvXgBuMv,CJK-B
2069E,𠚞,尸𠃊コ貝,凵コ匚貝,BhXiBuMb,XgBuGfMb,CJK-B
2072B,𠜫,禾八刂,千水刂,RhTiMd,WkKvMd,CJK-B
207F1,𠟱,⺕木田刂,彐十八刂,XlFvJtMd,XlDiTiMd,CJK-B
2095B,𠥛,匚丷𠃍人,匚丷コ人,GfUeViTe,GfUeBuTe,CJK-B
20991,𠦑,丶廾{灬丶},丶卄⺀丶,OdSjIs,OdSjSiOd,CJK-B
209BA,𠦺,〢龶八キ,〢丿十,NsHfTiAo,NsQpDiAo,CJK-B
20A95,𠪕,一䒑丿八,一䒑丿〢,FiUeQpTi,FiUeQpNs,CJK-B
20AB3,𠪳,厂口〢〇,厂丿口乚,ShLvNsXi,ShQpLvXi,CJK-B
20D81,𠶁,口〢キ八,口〢丿八,LvNsAoTi,LvNsQpTi,CJK-B
20E49,𠹉,𫩠𠃊日,龸乚口日,NsXiJr,NsXiLvJr,CJK-B
210A6,𡂦,丌口口口,一〢一口,AjLvLvLv,FiNsFiLv,CJK-B
211B5,𡆵,囗丨一丨,囗一丨丨,NwNsFiNs,NwFiNsNs,CJK-B
2168F,𡚏,大⺀𰀪亡,大丷丷亡,GdSiToUw,GdUeUeUw,CJK-B
21868,𡡨,女穴日八,女穴乚八,CnPxJrTi,CnPxXiTi,CJK-B
25962,𥥢,穴匸{虫口},穴干丄丶,PxGfKs,PxHgKsOd,CJK-B
2B05A,𫁚,穴⺈⺆十,穴⺈用十,PxYmWyDi,PxYmTnDi,CJK-C
2B06F,𫁯,立早夂凵,立早一,IdJdEhXg,IdJdFi,CJK-C
2E107,𮄇,穴氵未,穴氵末,PxIsHe,PxIsHo,CJK-F
31DD9,𱷙,穴𰀪卄欠,穴䒑彐欠,PxToSjEi,PxUeXlEi,CJK-H
31DDD,𱷝,穴米⺊厶,穴米卜禺,PxPmMoVv,PxPmMoKy,CJK-H
23D01,𣴁,氵㇒{黽上}卄,氵丶{黽上}卄,IsQpLvSj,IsOdLvSj,CJK-B
2A6A9,𪚩,口⺈{龜下},口丿,LvYmJm,LvQpJm,CJK-B
2A6B3,𪚳,⺈{龜下}⺆𠄠,丿冂二,YmJmWySi,QpJmKfSi,CJK-B
2A6BA,𪚺,⺈{龜下}斤一,⺈亻工,YmJmEjFi,YmJmEeFo,CJK-B
2A6C6,𪛆,尚攵⺈{龜下},小冂口,NsEhYmJm,MaKfLvJm,CJK-B
30559,𰕙,⺈{龜下}攵,丿夊,YmJmEh,QpJmEh,CJK-G
313DC,𱏜,亻⺈{龜下},亻丿,EeYmJm,EeQpJm,CJK-H
318B2,𱢲,日⺈{龜下},日丿,JrYmJm,JrQpJm,CJK-H
2039C,𠎜,丨一丨龴,一丨乚マ,NsFiNsBu,FiNsXiBu,CJK-B
209B6,𠦶,卄一臼十,艹干臼,SjFiRjDi,SjHgRj,CJK-B
26952,𦥒,丨二𠃊凵,亅一乚凵,NsSiXiXg,ViFiXiXg,CJK-B
2151D,𡔝,士丨一丿,士乛儿丿,HfNsFiQp,HfViQrQp,CJK-B
2163C,𡘼,大{北左}㇀𠃊,大非,GdUeFiXi,GdLi,CJK-B
2CEDE,𬻞,{黽上}{亞下},コ,LvJa,TmBuJa,CJK-F
21764,𡝤,口十口女,口一口女,LvDiLvCn,LvFiLvCn,CJK-B
217E7,𡟧,女丶彐卩,女白卩,CnOdXlXj,CnEbMoXj,CJK-B
218A3,𡢣,合月女𠂇,合月女丶,YeWyCnSo,YeWyCnOd,CJK-B
21E92,𡺒,山人日八,山厂亠二,JsTeJrTi,JsShObSi,CJK-B
22013,𢀓,丅乛一,工乛,AkViFi,FoVi,CJK-B
2202F,𢀯,丌厂⺄工,一丨一工,AjShViFo,FiNsFiFo,CJK-B
223B1,𢎱,弓丨丨㇒,弓丨丿,VgNsNsQp,VgNsQp,CJK-B
223D2,𢏒,㇒七弓冫,丿七弓,QpAiVgSi,QpAiVgTo,CJK-B
223FD,𢏽,弓⺀弓冫,卜己⺀,VgSiVgSi,MoBjSiTo,CJK-B
226C0,𢛀,戶𠃌匚心,戶匚乛心,IeViGfYi,IeGfViYi,CJK-B
22992,𢦒,𰀁戈,戈,AoGg,GgAo,CJK-B
2290F,𢤏,二〢{黽上}心,一艹丨心,SiNsLvYi,FiSjNsYi,CJK-B
22990,𢦐,コ戈,彐戈,BuGg,XlGg,CJK-B
229AB,𢦫,卌戈,卄〢戈,SsGg,SjNsGg,CJK-B
229DF,𢧟,戈弓厂丶,戈弓丨丶,GgVgShOd,GgVgNsOd,CJK-B
229E0,𢧠,日丨戈⺝,乚日戈月,JrNsGgWy,XiJrGgWy,CJK-B
229F9,𢧹,止戈𣥂木,止小戈木,NiGgMaFv,NiMaGgFv,CJK-B
229FC,𢧼,止戈宀示,止宀示戈,NiGgObHs,NiObHsGg,CJK-B
22B63,𢭣,扌亻冂䒑,扌亻囗丷,AoEeKfUe,AoEeNwUe,CJK-B
22C0D,𢰍,{京頭}火,扌火,OlUo,AoOlUo,CJK-B
22C0E,𢰎,扌卅三{介下},扌卅一,AoSsFaTi,AoSsFiTi,CJK-B
230B1,𣂱,丅幺幺斤,一乚幺斤,AkVoVoEj,FiXiVoEj,CJK-B
2315E,𣅞,{卬左}𠃌㇒日,一丿日,TmViQpJr,RnFiQpJr,CJK-B
2319C,𣆜,日丨㇎丄,日一丨丄,JrNsViKs,JrFiNsKs,CJK-B
2329C,𣊜,日{卬左}コ人,日丿乛人,JrTmBuTe,JrQpViTe,CJK-B
2333D,𣌽,一申丌䒑,一由丌䒑,FiKeAjUe,FiKoAjUe,CJK-B
23344,𣍄,丷𠃍古人,丷コ丨人,UeViDgTe,UeBuNsTe,CJK-B
2357A,𣕺,木艹冂尢,木艹冂儿,FvSjKfDo,FvSjKfQr,CJK-B
2382C,𣠬,木𠆢氺氺,十人人水,FvTeKvKv,DiTeTeKv,CJK-B
23845,𣡅,木𠂉卅㐅,木𠂉卅丶,FvQkSsWl,FvQkSsOd,CJK-B
23CCB,𣳋,氵丅𠃊丄,氵一丩丄,IsAkXiKs,IsFiXgKs,CJK-B
23D4D,𣵍,氵干𠃍三,氵干コ二,IsHgViFa,IsHgBuSi,CJK-B
23DBF,𣶿,氵丨卝干,氵卝丨干,IsNsSjHg,IsSjNsHg,CJK-B
7F8B,羋,丨卝キ,卝丨,NsSjAo,SjNsAo,GBK
241D0,𤇐,〢已灬,〢己灬,NsBiUo,NsBjUo,CJK-B
241DF,𤇟,一人丂灬,一人一灬,FiTeSkUo,FiTeFiUo,CJK-B
242AA,𤊪,火〢龶八,火〢丿八,UoNsHfTi,UoNsQpTi,CJK-B
2E34C,𮍌,冂𠃍コ,尸乛コ,KfViBu,BhViBu,CJK-F
243B8,𤎸,〢凵火火,凵〢火火,NsXgUoUo,XgNsUoUo,CJK-B
244C0,𤓀,火{龠上}𠕁一,火人一冊,UoYeNcFi,UoTeFiNc,CJK-B
28E0F,𨸏,戶ココ,丿丨ココ,IeBuBu,QpNsBuBu,CJK-B
245E3,𤗣,片龶丨木,片丨木,TpHfNsFv,TpAoNsFv,CJK-B
247B9,𤞹,犭{介下}二〣,犭〣二〢,RqTiSiNs,RqNsSiNs,CJK-B
249A1,𤦡,二二{黽上}八,王王{黽上}八,SiSiLvTi,GnGnLvTi,CJK-B
24BF6,𤯶,〢龶八生,〢丿十生,NsHfTiWg,NsQpDiWg,CJK-B
24C03,𤰃,川三,一,QcFa,TiAoFi,CJK-B
24F44,𤽄,白丨八,白乀,EbNsTi,EbTiOd,CJK-B
24F6A,𤽪,白㇒冂尢,白丿口儿,EbQpKfDo,EbQpLvQr,CJK-B
253A8,𥎨,二丨矢,一亅矢,SiNsQi,FiViQi,CJK-B
254A9,𥒩,石丬丨{水右},石〢冫二,DhUeNsSi,DhNsSiSi,CJK-B
256AA,𥚪,厶丨厶示,厶厶丨示,VvNsVvHs,VvVvNsHs,CJK-B
2574C,𥝌,㇒木,禾,QpFv,Rh,CJK-B
25F22,𥼢,米艹口木,米艹囗末,PmSjLvFv,PmSjNwHo,CJK-B
26031,𦀱,⺕𠃋小糸,彐乚亅糸,XlXiMaBs,XlXiViBs,CJK-B
2605A,𦁚,糹丨幺𠃊,糹乚幺幺,BsNsVoXi,BsXiVoVo,CJK-B
2622E,𦈮,缶丅𠃊丄,缶一丩丄,WoAkXiKs,WoFiXgKs,CJK-B
264D0,𦓐,{向框}〢,丿冂〢,RnNs,QpKfNs,CJK-B
26650,𦙐,⺼𠆢一㇄,月乚人一,WyTeFiXi,WyXiTeFi,CJK-B
2672B,𦜫,月一凵木,月卅木,WyFiXgFv,WySsFv,CJK-B
26962,𦥢,勹𦥑一,⺈臼一,WyRjFi,YmRjFi,CJK-B
2696E,𦥮,一𠃑コ臼,コ〢臼,FiXiBuRj,TmBuNsRj,CJK-B
2697A,𦥺,㇒{黽上}乂𦥑,丿{黽上}臼乂,QpLvWlRj,QpLvRjWl,CJK-B
26993,𦦓,𠆢十𠂈一,人十乚一,TeDiXgFi,TeDiXiFi,CJK-B
26ABA,𦪺,舟肀八爿,舟彐丨一,QoXlTiXp,QoXlNsFi,CJK-B
26B1D,𦬝,艹十丨𠃑,艹十亅㇉,SjDiNsXi,SjDiViXi,CJK-B
26B62,𦭢,艹丅𠃊丄,艹工乚丨,SjAkXiKs,SjFoXiNs,CJK-B
26B69,𦭩,艹丩丨二,艹丄乚亅,SjXgNsSi,SjKsXiVi,CJK-B
26B86,𦮆,龷冂二又,龷日又,SjKfSiBu,SjJrBu,CJK-B
26BE4,𦯤,䶹屮大{乍下},屮屮大丨,XgXgGdMo,XgXgGdNs,CJK-B
26BF5,𦯵,艹亻𠃍兀,艹臼一儿,SjEeViHw,SjRjFiQr,CJK-B
26E29,𦸩,艹日二十,艹日一十,SjJrSiDi,SjJrFiDi,CJK-B
27008,𧀈,艹𠃋丶日,艹凵乂日,SjXiOdJr,SjXgWlJr,CJK-B
273C1,𧏁,𠂆丅丄土,⺁一虫土,EjAkKsHt,EjFiKcHt,CJK-B
27738,𧜸,亠一{眔下}𧘇,亠一人𧘇,ObFiKvRy,ObFiTeRy,CJK-B
27ABA,𧪺,言𠆢一卅,言人一〢,UaTeFiSs,UaTeFiNs,CJK-B
27FD7,𧿗,㇒亅㇒足,丿亅丿龰,QpViQpNv,QpViQpNf,CJK-B
285E4,𨗤,𠆢二卅辶,人一卅辶,TeSiSsPd,TeFiSsPd,CJK-B
28CC7,𨳇,戸一冂一,戸一乚乛,IeFiKfFi,IeFiXiVi,CJK-B
28D63,𨵣,〢龶八門,〢丿十門,NsHfTiKn,NsQpDiKn,CJK-B
28E80,𨺀,𠂤千八𠃌,𠂤一米乛,YdWkTiVi,YdFiPmVi,CJK-B
29062,𩁢,革一八隹,革兀土隹,GeFiTiWi,GeHwHtWi,CJK-B
290CA,𩃊,雨⺈㔾土,雨⺈巳十,DyYmViHt,DyYmCkDi,CJK-B
2988F,𩢏,馬冂廾,馬口,DmKfSj,DmLvTi,CJK-B
29E51,𩹑,魚合{虫口},魚合厶,TyYeKs,TyYeVv,CJK-B
2A502,𪔂,目𠃑一𠃑,目㇉一乛,MfXiFiXi,MfXiFiVi,CJK-B
2A74A,𪝊,亻广{卬左}一,亻广七一,EeUuTmFi,EeUuAiFi,CJK-C
2A76B,𪝫,亻丌丷又,亻丌耳又,EeAjUeBu,EeAjArBu,CJK-C
2A787,𪞇,入王八刀,入王刀,RuGnTiBd,RuGnBd,CJK-C
2A7E2,𪟢,八一八力,八一皿力,TiFiTiXk,TiFiMnXk,CJK-C
2A817,𪠗,𠂆日子口,⺁日厶口,EjJrVkLv,EjJrVvLv,CJK-C
2A846,𪡆,口扌𠆢乛,口扌一乛,LvAoTeVi,LvAoFiVi,CJK-C
2A85F,𪡟,口亻厶夊,口亻儿夊,LvEeVvEh,LvEeQrEh,CJK-C
2A877,𪡷,口阝𠆢八,口阝干八,LvCjTeTi,LvCjHgTi,CJK-C
3144F,𱑏,〢龶八𰀁,〢丿十,NsHfTiAo,NsQpDiAo,CJK-H
2A881,𪢁,口亠〢七,口丶丿七,LvObNsAi,LvOdQpAi,CJK-C
2A882,𪢂,口𦍌㇒目,口䒑丿目,LvUgQpMf,LvUeQpMf,CJK-C
2A899,𪢙,口丌三丨,口耳䒑丨,LvAjFaNs,LvArUeNs,CJK-C
2A9E1,𪧡,十冂三寸,月一寸,DiKfFaAc,SoWyFiAc,CJK-C
2ABC3,𪯃,扌艹𦍌艮,扌艹一艮,AoSjUgVn,AoSjFiVn,CJK-C
2AC67,𪱧,月{亮頭}儿,月亠口儿,WyOlQr,WyObLvQr,CJK-C
31722,𱜢,䒑巾,丷一巾,UeMv,UeFiMv,CJK-H
2AC95,𪲕,木冂𠆢龴,木冂八マ,FvKfTeBu,FvKfTiBu,CJK-C
2ACA5,𪲥,木口𠆢龴,木口八マ,FvLvTeBu,FvLvTiBu,CJK-C
2AD02,𪴂,木冂二方,木日罒勹,FvKfSiOg,FvJrMwWy,CJK-C
2AF0E,𪼎,𤣩𦍌儿厶,王䒑儿厶,GnUgQrVv,GnUeQrVv,CJK-C
2AF2F,𪼯,𤣩𦍌禾乃,王羊禾戈,GnUgRhVj,GnUgRhGg,CJK-C
2B1B0,𫆰,土方攵人,土方人人,HtOgEhTe,HtOgTeTe,CJK-C
2B22F,𫈯,艹𦍌儿丶,艹䒑儿丶,SjUgQrOd,SjUeQrOd,CJK-C
2B26B,𫉫,艹八夫目,艹八匕目,SjTiGuMf,SjTiRiMf,CJK-C
2B28D,𫊍,艹世木乛,艹世一乛,SjHiFvVi,SjHiFiVi,CJK-C
2B30E,𫌎,月八口𧘇,月八儿𧘇,WyTiLvRy,WyTiQrRy,CJK-C
2B46F,𫑯,一彐厶十,一彐大十,FiXlVvDi,FiXlGdDi,CJK-C
2B471,𫑱,一彐厶月,一彐早月,FiXlVvWy,FiXlJdWy,CJK-C
2B47C,𫑼,酉八酉寸,酉八寸,GoTiGoAc,GoTiAc,CJK-C
2B4D5,𫓕,釒亠〢〢,金丶一皿,WjObNsNs,WjOdFiMn,CJK-C
2B4E4,𫓤,釒𥫗戈一,金竹一,WjQkGgFi,WjQkMoFi,CJK-C
2B556,𫕖,阝丁口乛,阝丁一乛,CjAnLvVi,CjAnFiVi,CJK-C
2B55B,𫕛,{舍下}隹,干口隹,ReWi,HgLvWi,CJK-C
2B600,𫘀,禾日士攵,禾日方夊,RhJrHfEh,RhJrOgEh,CJK-C
2D997,𭦗,日皿勹,日皿丿乛,JrMnWy,JrMnQpVi,CJK-F
2B661,𫙡,魚扌㇒七,魚扌凵乚,TyAoQpAi,TyAoXgXi,CJK-C
2B66F,𫙯,魚亻丨彡,魚亻夊彡,TyEeNsTo,TyEeEhTo,CJK-C
2B743,𫝃,一丷巾人,一丷人人,FiUeMvTe,FiUeTeTe,CJK-D
2B756,𫝖,勹厂𠃍八,⺈厂艹八,WyShViTi,YmShSjTi,CJK-D
2B77D,𫝽,扌亻丨彡,扌亻夊彡,AoEeNsTo,AoEeEhTo,CJK-D
2B7D2,𫟒,艹艹未,艹卅木,SjSjHe,SjSsFv,CJK-D
2B815,𫠕,广隹㇒灬,广隹烏一,UuWiQpUo,UuWiYwFi,CJK-D
2B826,𫠦,一卜丿亅,一卜𠂉亅,FiMoQpVi,FiMoQkVi,CJK-E
2B84A,𫡊,〢土䒑攵,〢土十夊,NsHtUeEh,NsHtDiEh,CJK-E
2B84B,𫡋,〢二三𰀁,非二,NsSiFaAo,LiSiTiAo,CJK-E
2B852,𫡒,{向框}土,丿冂土,RnHt,QpKfHt,CJK-E
2B86D,𫡭,土⺄里,土里乙,HtViKk,HtKkVi,CJK-E
2B86F,𫡯,十早⺄月,十早月乙,DiJdViWy,DiJdWyVi,CJK-E
2B8A9,𫢩,尸匕𠆢乛,尸匕一乛,BhRiTeVi,BhRiFiVi,CJK-E
2B8BF,𫢿,𠆢工勹又,人工丩又,TeFoWyBu,TeFoXgBu,CJK-E
2B8CC,𫣌,亻𦍌儿厶,亻䒑儿厶,EeUgQrVv,EeUeQrVv,CJK-E
2B918,𫤘,{向框}〢兀,丿罒儿,RnNsHw,QpMwQr,CJK-E
2B930,𫤰,〢丂㇒八,〢一一八,NsSkQpTi,NsFiFiTi,CJK-E
2B933,𫤳,丷{夬人}白末,丷コ丿末,UeBuEbHo,UeBuQpHo,CJK-E
2B961,𫥡,白匕匕几,白匕几,EbRiRiQj,EbRiQj,CJK-E
2B9C1,𫧁,勹〣,勹〢丨,WyNs,WyNsNs,CJK-E
2B9FC,𫧼,卯丶丶丱,卯丶丶亅,TmOdOdXg,TmOdOdVi,CJK-E
2EBA0,𮮠,龷丷巾八,龷丨丷八,SjUeMvTi,SjNsUeTi,CJK-F
2BB0B,𫬋,口口丌丨,口口一丨,LvLvAjNs,LvLvFiNs,CJK-E
2BB2F,𫬯,𠄠𠃊古𫠠,乚二古一,SiXiDgAi,XiSiDgFi,CJK-E
2BC4D,𫱍,女{亮頭}儿,女亠口儿,CnOlQr,CnObLvQr,CJK-E
2BC4E,𫱎,女𦍌儿丶,女䒑儿丶,CnUgQrOd,CnUeQrOd,CJK-E
2BD2C,𫴬,丨又寸丨,文寸⺈亅,NsBuAcNs,PwAcYmVi,CJK-E
2BE43,𫹃,弓且八乂,弓月一乂,VgMiTiWl,VgWyFiWl,CJK-E
2BEA7,𫺧,忄合𭕄,忄人⺍口,YiYeIs,YiTeIsLv,CJK-E
2BEB3,𫺳,忄𦍌𠂉丄,忄羊丿工,YiUgQkKs,YiUgQpFo,CJK-E
2BEF4,𫻴,止戈⺝,止月戈,NiGgWy,NiWyGg,CJK-E
2BF82,𫾂,扌𤣩王乛,扌王一乛,AoGnGnVi,AoGnFiVi,CJK-E
2BFCE,𫿎,戊丨厂又,冫戊卜又,DwNsShBu,SiDwMoBu,CJK-E
2C04D,𬁍,日𦍌儿丶,日䒑儿厶,JrUgQrOd,JrUeQrVv,CJK-E
2C087,𬂇,月𤣩㐅王,月王丶王,WyGnWlGn,WyGnOdGn,CJK-E
2C0FA,𬃺,木⺊囗口,木卜儿口,FvMoNwLv,FvMoQrLv,CJK-E
2C12B,𬄫,木尸耂丶,木尸丶日,FvBhHtOd,FvBhOdJr,CJK-E
2C293,𬊓,㇒⺀{爲下},爪,QpSiWw,EkWw,CJK-E
2C2FE,𬋾,业八巾丶,〢丷一丿,KgTiMvOd,NsUeFiQp,CJK-E
2C37F,𬍿,𤣩千口{虫口},王丿一,GnWkLvKs,GnQpFiKs,CJK-E
2C42A,𬐪,𠆢一乛皿,人一罒皿,TeFiViMn,TeFiMwMn,CJK-E
2C4ED,𬓭,禾丆丶土,禾一冂土,RhDhOdHt,RhFiKfHt,CJK-E
2C528,𬔨,立一䒑八,立丌䒑八,IdFiUeTi,IdAjUeTi,CJK-E
2C5CB,𬗋,止弋糸,止戈糸,NiGyBs,NiGgBs,CJK-E
2C682,𬚂,𦍌勹土戈,羊丿丑戈,UgWyHtGg,UgQpBcGg,CJK-E
2C7D3,𬟓,艹千黑力,艹千黑灬,SjWkNeXk,SjWkNeUo,CJK-E
2CAE9,𬫩,釒广{卬左}一,金广七一,WjUuTmFi,WjUuAiFi,CJK-E
2CBD3,𬯓,阝彑𠂊又,阝巾又,CjBmYmBu,CjBmMvBu,CJK-E
2CCD6,𬳖,䒑自亻卩,䒑自卩,UeTkEeXj,UeTkTmXj,CJK-E
2CD2C,𬴬,髟尙,髟小冂口,HaNs,HaMaKfLv,CJK-E
2CEC7,𬻇,丌口,一口〢,AjLv,FiLvNs,CJK-F
2CEC8,𬻈,𠃍丄𠃍丄,コ丨コ丨,ViKsViKs,BuNsBuNs,CJK-F
2CEDF,𬻟,二卅⺀⺀,一卅一丶,SiSsSiSi,FiSsFiOd,CJK-F
2CEE5,𬻥,龶龶𠃍土,龶龶コ丨,HfHfViHt,HfHfBuNs,CJK-F
2D020,𭀠,𠂉冂尢,𠂉口儿,QkKfDo,QkLvQr,CJK-F
2D048,𭁈,〢丿土八,〢丿十八,NsQpHtTi,NsQpDiTi,CJK-F
2D049,𭁉,〢丂二八,〢丂一八,NsSkSiTi,NsSkFiTi,CJK-F
2D31F,𭌟,口𦍌禾乃,口羊禾戈,LvUgRhVj,LvUgRhGg,CJK-F
2D491,𭒑,女{亮頭}巾,女冖巾,CnOlMv,CnOlYmMv,CJK-F
2D4C7,𭓇,〣𰀪冖子,〢丨子,NsToYmVk,NsNsToVk,CJK-F
2D4D7,𭓗,〢一夕子,刂一夕子,NsFiRkVk,MdFiRkVk,CJK-F
2D509,𭔉,宀鬼,宀鬼厶,ObWu,ObWuVv,CJK-F
2D569,𭕩,尸鬼,尸鬼厶,BhWu,BhWuVv,CJK-F
2D651,𭙑,广丶⺀,丶广⺀,UuOdSi,OdUuSi,CJK-F
2D85D,𭡝,扌乛氺凵,扌凵了二,AoViKvXg,AoXgVlSi,CJK-F
2D885,𭢅,〢𠃑丨手,〢一一手,NsXiNsTu,NsFiFiTu,CJK-F
2D90F,𭤏,〣人厂攵,〢人广夊,NsTeShEh,NsTeUuEh,CJK-F
2D92A,𭤪,一𠃋方,土乚方,FiXiOg,HtXiOg,CJK-F
2D95F,𭥟,㇋厶日㇋,了厶日了,ViVvJrVi,VlVvJrVl,CJK-F
2DC69,𭱩,氵业冂山,氵〢丷山,IsKgKfJs,IsNsUeJs,CJK-F
2DD3A,𭴺,丆亅口灬,丆口二灬,DhViLvUo,DhLvSiUo,CJK-F
2DDB2,𭶲,爪甶㇒十,爪十,EkWuQpDi,EkWuDi,CJK-F
2DEAE,𭺮,𫩠㇄卄二,龸乚口二,NsXiSjSi,NsXiLvSi,CJK-F
2DF3E,𭼾,𰀪{癶右}一大,人彡一大,ToToFiGd,TeToFiGd,CJK-F
2DF42,𭽂,夕{癶右}方攵,夊方夊,RkToOgEh,EhToOgEh,CJK-F
2DF76,𭽶,䒑丿口皮,丷丿丌皮,UeQpLvVp,UeQpAjVp,CJK-F
2E076,𮁶,亠{介下}示,亠八示,ObTiHs,ObTiTiHs,CJK-F
2E195,𮆕,𥫗一卝十,竹丌一十,QkFiSjDi,QkAjFiDi,CJK-F
2E32E,𮌮,月𦍌水,月䒑土水,WyUgKv,WyUeHtKv,CJK-F
2E352,𮍒,丶戊冫臣,丶冫戊臣,OdDwSiSc,OdSiDwSc,CJK-F
2E3B5,𮎵,艹一王𠃊,艹乚丶王,SjFiGnXi,SjXiOdGn,CJK-F
2E3BF,𮎿,艹一丷𠃊,艹乚一丷,SjFiUeXi,SjXiFiUe,CJK-F
2E469,𮑩,艹亻口儿,艹丿口儿,SjEeLvQr,SjQpLvQr,CJK-F
2E514,𮔔,虫刀冂尢,虫刀口儿,KcBdKfDo,KcBdLvQr,CJK-F
2E5D9,𮗙,見鬼,見鬼厶,MxWu,MxWuVv,CJK-F
