char,division,code,division_tw,code_tw,region
𧦠,言厂㔾,BVAj,,,CJK-B
𧦡,言厂干,BVNg,,,CJK-B
𧦢,言口丂,BLHk,,,CJK-B
𧦣,言亠女,BACn,,,CJK-B
𧦤,言力口,BSLv,,,CJK-B
𧦥,母言,EByⓜ,,,CJK-B
𧦦,言冂土,BCHt,,,CJK-B
𧦧,言𠂉也,BGOe,,,CJK-B
𧦨,言夕卜,BXUb,,,CJK-B
𧦩,言匚也,BHOe,,,CJK-B
𧦪,工力言,PSBy,,,CJK-B
𧦫,言尸コ,BBBo,言丨ココ,BUBB,CJK-B
𧦬,工几言,PEBy,,,CJK-B
𧦭,言亻也,BEOe,,,CJK-B
𧦮,言弓丶,BBKd,,,CJK-B
𧦯,言一勹,BFWC,,,CJK-B
𧦰,言立,BKlⓨ,,,CJK-B
𧦱,穴言,IByⓧ,,,CJK-B
𧦲,力口言,SLBy,,,CJK-B
𧦳,言石,BVsⓨ,,,CJK-B
𧦴,癶言,BByⓞ,,,CJK-B
𧦵,言田,BVtⓨ,,,CJK-B
𧦶,言丿一口,BGFL,,,CJK-B
𧦷,言勹乂乚,BWSE,,,CJK-B
𧦸,干冂言,NCBy,,,CJK-B
𧦹,言木一,BAFi,,,CJK-B
𧦺,言斤一,BDFi,,,CJK-B
𧦻,言丿八丂,BGKH,,,CJK-B
𧦼,言瓜,BUgⓨ,,,CJK-B
𧦽,言⺈小,BXIv,,,CJK-B
𧦾,言コ丨又,BBUB,,,CJK-B
𧦿,言一冂人,BFCR,,,CJK-B
𧧀,言瓦,BRwⓨ,,,CJK-B
𧧁,夕㔾言,XABy,,,CJK-B
𧧂,言𠂉小,BGIv,,,CJK-B
𧧃,臣言,HByⓔ,,,CJK-B
𧧄,言亡女,BTCn,,,CJK-B
𧧅,言一口乂,BFLS,,,CJK-B
𧧆,言𠂤,BDdⓨ,,,CJK-B
𧧇,言乃木,BGAm,,,CJK-B
𧧈,言糸,BOsⓨ,,,CJK-B
𧧉,言广丿七,BMGX,,,CJK-B
𧧊,言⺁一巳,BDFO,,,CJK-B
𧧋,言一夕刂,BFXM,,,CJK-B
𧧌,言上小,BJIv,,,CJK-B
𧧍,言西,BPxⓨ,,,CJK-B
𧧎,言上下,BJJx,,,CJK-B
𧧏,女口言,CLBy,,,CJK-B
𧧐,言戊一,BKFi,,,CJK-B
𧧑,立丿言,KGBy,,,CJK-B
𧧒,言木冂,BACk,,,CJK-B
𧧓,言丿皿,BGUm,,,CJK-B
𧧔,言舟,BUoⓨ,,,CJK-B
𧧕,言宀子,BIKz,,,CJK-B
𧧖,言臼,BDiⓨ,,,CJK-B
