char,division,code,division_tw,code_tw,region
𥎣,予丿,cwd,予丿,cwd,CJK-B
𥎤,予丿火,cwm,予丿火,cwm,CJK-B
𥎥,予丿火,cwm,予丿火,cwm,CJK-B
𥎦,厂矢,kqj,厂矢,kqj,CJK-B
𥎧,矢十,qdi,矢十,qdi,CJK-B
𥎨,一亅矢,fvq,一亅矢,fvq,CJK-B
𥎩,止矢,tqj,止矢,tqj,CJK-B
𥎪,矢夊,qeu,矢夊,qeu,CJK-B
𥎫,刀刀矢,ddq,刀刀矢,ddq,CJK-B
𥎬,矢匕匕,qii,矢匕匕,qii,CJK-B
𥎭,矢日,qjk,矢日,qjk,CJK-B
𥎮,矢⺁又,qnb,矢厂又,qkb,CJK-B
𥎯,矢欠,qnv,矢欠,qnv,CJK-B
𥎰,矢土厶,qgk,矢土厶,qgk,CJK-B
𥎱,矢丶,qso,矢丶,qso,CJK-B
𥎲,コ矢亅,bqv,コ矢亅,bqv,CJK-B
𥎳,矢母,qru,矢母,qru,CJK-B
𥎴,矢田,qnd,矢田,qnd,CJK-B
𥎵,矢丁口,qal,矢丁口,qal,CJK-B
𥎶,矢目,qmv,矢目,qmv,CJK-B
𥎷,矢白,qds,矢白,qds,CJK-B
𥎸,矢亠幺,qou,矢亠幺,qou,CJK-B
𥎹,矢至,qhz,矢至,qhz,CJK-B
𥎺,矢儿二,qqp,矢儿二,qqp,CJK-B
𥎻,舟矢,cqj,舟矢,cqj,CJK-B
𥎼,止厂矢,tkq,止厂矢,tkq,CJK-B
𥎽,矢山大,qjt,矢山大,qjt,CJK-B
𥎾,矢⺈㔾,qyv,矢⺈㔾,qyv,CJK-B
𥎿,矢口,qlj,矢口,qlj,CJK-B
𥏀,人人矢,rrq,人人矢,rrq,CJK-B
𥏁,矢止丂,qtu,矢止丂,qtu,CJK-B
𥏂,人人矢,rrq,人人矢,rrq,CJK-B
𥏃,矢口㇉,qle,矢口㇉,qle,CJK-B
𥏄,矢丆日,quj,矢丆日,quj,CJK-B
𥏅,矢早,qjv,矢早,qjv,CJK-B
𥏆,矢自,qmw,矢自,qmw,CJK-B
𥏇,丷夫矢,qlq,丷夫矢,qlq,CJK-B
𥏈,几一矢,qfq,几一矢,qfq,CJK-B
𥏉,亠匕矢,oiq,亠匕矢,oiq,CJK-B
𥏊,矢习习,qqq,矢习习,qqq,CJK-B
𥏋,⺧儿矢,tqq,⺧儿矢,tqq,CJK-B
𥏌,矢⺧儿,qtq,矢⺧儿,qtq,CJK-B
𥏍,矢夕口,qul,矢夕口,qul,CJK-B
𥏎,矢壬廴,qcy,矢壬廴,qcy,CJK-B
𥏏,匚矢又,kqb,匚矢又,kqb,CJK-B
𥏐,矢禾几,qvq,矢禾几,qvq,CJK-B
𥏑,匕矢丶,iqo,匕矢丶,iqo,CJK-B
𥏒,矢一口,qfl,矢一口,qfl,CJK-B
𥏓,矢日卄,qjs,矢日卄,qjs,CJK-B
𥏔,矢辛,qox,矢辛,qox,CJK-B
𥏕,矢宀厶,qhk,矢宀厶,qhk,CJK-B
𥏖,矢厶矢,qkq,矢厶矢,qkq,CJK-B
𥏗,矢禾乃,qvr,矢禾乃,qvr,CJK-B
𥏘,矢尸凵,qbx,矢尸凵,qbx,CJK-B
𥏙,矢丷㔾,qqv,矢丷㔾,qqv,CJK-B
𥏚,匕矢巾,iqr,匕矢巾,iqr,CJK-B
𥏛,立戈矢,opq,立戈矢,opq,CJK-B
𥏜,矢大口,qtl,矢大口,qtl,CJK-B
𥏝,矢一,qfp,矢一,qfp,CJK-B
𥏞,矢又又,qbb,矢又又,qbb,CJK-B
𥏟,矢丷八,qqu,矢丷八,qqu,CJK-B
𥏠,矢十,qgd,矢十,qgd,CJK-B
𥏡,矢立女,qoo,矢立女,qoo,CJK-B
𥏢,矢大干,qtn,矢大干,qtn,CJK-B
𥏣,矢大十,qtd,矢大十,qtd,CJK-B
𥏤,矢大丂,qtu,矢大丂,qtu,CJK-B
𥏥,矢卜早,qcj,矢卜早,qcj,CJK-B
𥏦,矢目丂,qmu,矢目㇉,qme,CJK-B
𥏧,矢口土,qlg,矢口土,qlg,CJK-B
𥏨,矢口,qhl,矢口,qhl,CJK-B
𥏩,矢弓瓜,qnv,矢弓瓜,qnv,CJK-B
𥏪,矢匕白,qid,矢匕白,qid,CJK-B
𥏫,矢日,qjs,矢日,qjs,CJK-B
𥏬,日一矢,jfq,日一矢,jfq,CJK-B
𥏭,矢世木,qgf,矢世木,qgf,CJK-B
