char,division,code,quick_simp,quick_trad,region,details
䙱,衤尸水虫,PBKK,,,CJK-A,
䙲,覀大,DGdi,,,CJK-A,
䙳,覀火,DUvi,,,CJK-A,
䙴,覀大巳,DGXs,,,CJK-A,
䙵,覀土土,DHHv,,,CJK-A,
䙶,西冖𧘇,DYWy,,,CJK-A,
䙷,見寸,MAcx,,,CJK-A,
䙸,見寸,MAcx,,,CJK-A,
䙹,一卄見,FSMx,,,CJK-A,
䙺,火見,UMx,,,CJK-A,
䙻,丿乚丨見,QXNM,,,CJK-A,
䙼,刀口見,BLMx,,,CJK-A,
䙽,大丷見,GUMx,,,CJK-A,
䙾,宀匕見,ORMx,,,CJK-A,
䙿,未見,HMxe,,,CJK-A,
䚀,舟見,QMxo,,,CJK-A,
䚁,向見,RMxg,,,CJK-A,
䚂,土八見,HTTM,,,CJK-A,土{介下同八}八見
䚃,卜囗コ見,MNBM,,,CJK-A,卜囗{コ同又}見
䚄,彐水見,XKMx,,,CJK-A,
䚅,來見,DMxl,,,CJK-A,
䚆,艹冂大見,SKGM,,,CJK-A,
䚇,小丿目見,MQMM,,,CJK-A,
䚈,覀土見,DHMx,,,CJK-A,
䚉,丰刀大見,DBGM,,,CJK-A,
䚊,䒑八皿見,UTMM,,,CJK-A,
䚋,口貝見,LMMx,,,CJK-A,
䚌,白大十見,EGDM,,,CJK-A,
䚍,龶貝見,HMMx,,,CJK-A,
䚎,𡗗臼見,GRMx,,,CJK-A,
䚏,米夕ヰ見,PRAM,,,CJK-A,米夕キ見
䚐,矢口日見,QLJM,,,CJK-A,
䚑,罒貝見,MMMx,,,CJK-A,
䚒,立甲二見,IKSM,,,CJK-A,
䚓,覀早見,DJMx,,,CJK-A,
䚔,宀一小見,OFMM,,,CJK-A,
䚕,一冂一見,FKFM,,,CJK-A,一{冂丶同冂}一見
䚖,雨口口見,DLLM,,,CJK-A,
䚗,冖用八厶,YTTV,,,CJK-A,
䚘,彳冖用亍,RYTA,,,CJK-A,
䚙,冖用二日,YTSJ,,,CJK-A,
䚚,冖用儿,YTWQ,,,CJK-A,冖用⺧儿
䚛,冖用口,YTWL,,,CJK-A,冖用⺧口
䚜,冖用十,YTWD,,,CJK-A,冖用{卑上同鬼}十
䚝,冖用亠十,YTOD,,,CJK-A,
䚞,冖用來,YTDl,,,CJK-A,
䚟,冖用日寸,YTJA,,,CJK-A,
䚠,冖用日匕,YTJR,,,CJK-A,
䚡,冖用田心,YTJY,,,CJK-A,
䚢,冖用世木,YTHF,,,CJK-A,
䚣,冖用日龰,YTJN,,,CJK-A,
䚤,冖用禺,YTKy,,,CJK-A,
䚥,冖用弓二,YTVS,,,CJK-A,
䚦,冖用虎,YTEM,,,CJK-A,冖用{𠂆同斤}虎
䚧,冖用羽彡,YTXT,,,CJK-A,
䚨,冖用癶殳,YTBQ,,,CJK-A,冖用{登上同又}殳
䚩,冖用夭口,YTEL,,,CJK-A,
䚪,冖用罒𧘇,YTMW,,,CJK-A,
䚫,白方夂用,EOET,,,CJK-A,
䚬,冖用米ヰ,YTPA,,,CJK-A,冖用米キ
䚭,冖用艹隹,YTSW,,,CJK-A,
䚮,言乃,UVaa,,,CJK-A,
䚯,言刂,UMda,,,CJK-A,
䚰,言匕,URia,,,CJK-A,
䚱,言小,UMaa,,,CJK-A,
䚲,言彡,UTia,,,CJK-A,
䚳,言十又,UDBu,,,CJK-A,
䚴,言月,UWva,,,CJK-A,
䚵,言⺀十,USDh,,,CJK-A,言{两点同二}十
䚶,言一大,UFGd,,,CJK-A,
䚷,言八丂,UTSk,,,CJK-A,
䚸,言人,UTTb,,,CJK-A,言人{介下同八}
䚹,言匕匕,URRi,,,CJK-A,
䚺,言夂,UEha,,,CJK-A,
䚻,月言,WUa,,,CJK-A,
䚼,言丑,UBca,,,CJK-A,
䚽,言毛,URma,,,CJK-A,
䚾,言壬,UEea,,,CJK-A,
䚿,言欠,UEia,,,CJK-A,
䛀,言又,UEBu,,,CJK-A,言{𠂆同斤}又
䛁,言冂二,UKSr,,,CJK-A,
䛂,言丿卄,UQSv,,,CJK-A,
䛃,言一兀,UFHw,,,CJK-A,
䛄,言夕乙,URVi,,,CJK-A,
䛅,言甲,UKaa,,,CJK-A,
䛆,言由,UKoa,,,CJK-A,
䛇,言几口,UQLv,,,CJK-A,
䛈,言矢,UQia,,,CJK-A,
䛉,言巳七,UXAi,,,CJK-A,
䛊,言口八,ULTb,,,CJK-A,
䛋,言戊,UDwa,,,CJK-A,
䛌,言巳,UWXs,,,CJK-A,言{⼓同月}巳
䛍,言弓,UVTb,,,CJK-A,言弓{介下同八}
䛎,言穴,UPua,,,CJK-A,
䛏,言尸匕,UBRi,,,CJK-A,
䛐,乙一口言,VFLU,,,CJK-A,
䛑,言心丿,UYQp,,,CJK-A,
䛒,工丂言,FSUa,,,CJK-A,
䛓,〢言,NQUa,,,CJK-A,〢{⺮右同竹}言
䛔,言而,USja,,,CJK-A,
䛕,言日乂,UJWa,,,CJK-A,
䛖,言电丿,UKQp,,,CJK-A,
䛗,臣言,SUac,,,CJK-A,
䛘,言亻壬,UEEe,,,CJK-A,
䛙,言亻木,UEFv,,,CJK-A,
䛚,丰刀言,DBUa,,,CJK-A,
䛛,言囗口,UNLv,,,CJK-A,
䛜,言乂,URWa,,,CJK-A,言{囟框同向}乂
䛝,言丑山,UBJs,,,CJK-A,
䛞,言日干,UJHg,,,CJK-A,
䛟,言大人人,UGTT,,,CJK-A,
䛠,言一口䒑,UFLU,,,CJK-A,
䛡,言七口,UTAL,,,CJK-A,言{卬左同卯}七口
䛢,言禾几,URQj,,,CJK-A,
䛣,言由丂,UKSk,,,CJK-A,
䛤,言足,UNva,,,CJK-A,
䛥,言乂巾,UWSM,,,CJK-A,言乂{右頭}巾
䛦,言八人口,UTTL,,,CJK-A,
䛧,言米乚,UPXi,,,CJK-A,
䛨,言辛,UOxa,,,CJK-A,
䛩,言一,UFJa,,,CJK-A,言一{亞下}
䛪,言穴弓,UPVo,,,CJK-A,
䛫,言長,UHaa,,,CJK-A,
䛬,言缶,UWWo,,,CJK-A,言{⼓同月}缶
䛭,言土䒑十,UHUD,,,CJK-A,
䛮,言夂卜口,UEML,,,CJK-A,
䛯,言尸古,UBDg,,,CJK-A,
䛰,言日匕匕,UJRR,,,CJK-A,
䛱,言口丨心,ULNY,,,CJK-A,
䛲,言白巾,UEMj,,,CJK-A,
䛳,言大电,UGKd,,,CJK-A,
䛴,言大丁口,UGAL,,,CJK-A,
䛵,言爪冖又,UEYB,,,CJK-A,
䛶,言丰木,UDFv,,,CJK-A,
䛷,言宀夕乙,UORV,,,CJK-A,
䛸,言广卜口,UUML,,,CJK-A,
䛹,言豕,UBDs,,,CJK-A,言{互中同母}豕
䛺,言田人,UJTT,,,CJK-A,言田人{介下同八}
䛻,言十目,UEDM,,,CJK-A,言{𠂆同斤}十目
䛼,言臼工,URFo,,,CJK-A,
䛽,言千臼,UWRj,,,CJK-A,
䛾,言龶糸,UHBv,,,CJK-A,
䛿,言一口丨,UFLN,,,CJK-A,
䜀,言刀丶止,UBON,,,CJK-A,
䜁,言土土大,UHHG,,,CJK-A,
䜂,言白大十,UEGD,,,CJK-A,
䜃,言隹土,UWHv,,,CJK-A,
䜄,言尸水牛,UBKW,,,CJK-A,
䜅,言山隹,UJWi,,,CJK-A,
䜆,麻言,PUaa,,,CJK-A,
䜇,言亠八𧘇,UOTW,,,CJK-A,
䜈,言巛日木,UVJF,,,CJK-A,
䜉,言木人水,UFTK,,,CJK-A,
䜊,言龷日日,USJJ,,,CJK-A,
䜋,言口上貝,ULKM,,,CJK-A,
䜍,言大丷小,UGUM,,,CJK-A,
䜎,言火火力,UUUX,,,CJK-A,
䜏,言阝月,UCSW,,,CJK-A,言阝{右頭}月
䜐,阝工言,CSFU,,,CJK-A,阝{右頭}工言
䜑,言一心,UFJY,,,CJK-A,言一{亞下}心
䜒,言米大,URPG,,,CJK-A,言{囟框同向}米大
䜓,言艹世木,USHF,,,CJK-A,
䜔,言工辶,USFP,,,CJK-A,言{右頭}工辶
䜕,言艹禺,USKy,,,CJK-A,
䜖,言覀貝,UDMb,,,CJK-A,
䜗,言戊一心,UDFY,,,CJK-A,
䜘,言艹夂,USWE,,,CJK-A,言艹{⼓同月}夂
䜙,言日幺灬,UJCU,,,CJK-A,
䜚,言罒水辶,UMKP,,,CJK-A,
䜛,言冖口儿,UYLQ,,,CJK-A,
䜜,言卜冖目,UMYM,,,CJK-A,
䜝,言幺幺乚,UCCX,,,CJK-A,
䜞,言亠丷二,UOUS,,,CJK-A,
䜟,言十戈一,UDGF,,,CJK-A,
䜠,言斤斤貝,UEEM,,,CJK-A,
䜡,言月夂,UDWE,,,CJK-A,言{丆同石}月夂
䜢,言宀丰心,UODY,,,CJK-A,
䜤,讠龷八,OSTb,,,CJK-A,
䜥,讠日一廴,OJFX,,,CJK-A,
䜦,讠艹日,OSWJ,,,CJK-A,讠艹{⼓同月}日
䜧,讠刀丶止,OBON,,,CJK-A,
䜨,讠口口心,OLLY,,,CJK-A,
䜪,八人口九,TTLY,,,CJK-A,
䜫,八人口工,TTLF,,,CJK-A,
䜬,八人口由,TTLK,,,CJK-A,
䜭,卜冖一口,MYFL,,,CJK-A,
䜮,八人口牛,TTLW,,,CJK-A,
䜯,八人口米,TTLP,,,CJK-A,
䜰,八人口十,TTLD,,,CJK-A,
䜱,八人口又,TTLB,,,CJK-A,
䜲,八人口,TTLB,,,CJK-A,八人口{鼠下}
䜳,一口䒑乚,FLUX,,,CJK-A,
䜴,一口䒑攴,FLUK,,,CJK-A,
䜵,一口䒑皮,FLUV,,,CJK-A,
䜶,一口䒑ヰ,FLUA,,,CJK-A,一口䒑キ
䜷,一口䒑又,FLUB,,,CJK-A,
䜸,一口䒑毛,FLUR,,,CJK-A,
䜹,一口䒑口,FLUL,,,CJK-A,
䜺,一口䒑日,FLUJ,,,CJK-A,
䜻,一口䒑龰,FLUN,,,CJK-A,
䜼,矛夂一䒑,XEFU,,,CJK-A,
䜽,一口䒑刂,FLUM,,,CJK-A,
䜾,一口䒑日,FLUJ,,,CJK-A,
䜿,臣一䒑,SQFU,,,CJK-A,臣{丿一同竹}一䒑
䝀,一口䒑田,FLUJ,,,CJK-A,
䝁,火火冖䒑,UUYU,,,CJK-A,
䝂,臣殳一䒑,SQFU,,,CJK-A,
䝃,一口䒑灬,FLUU,,,CJK-A,
䝄,一口䒑又,FLUB,,,CJK-A,
䝅,豕土,DHvs,,,CJK-A,
䝆,豕,WTDs,,,CJK-A,{⼓同月}{两撇同彡}豕
䝇,八儿豕,TQDs,,,CJK-A,
䝈,豕一乙,DEFV,,,CJK-A,豕{𠂆同斤}一乙
䝉,〢丷冖豕,NUYD,,,CJK-A,
䝊,豕一彐龰,DFXN,,,CJK-A,
䝋,豕宀示,DOHs,,,CJK-A,
䝌,豕又又又,DBBB,,,CJK-A,
䝍,豕冖車,DYGj,,,CJK-A,
䝎,豕山而,DJSj,,,CJK-A,
䝏,豕口十女,DLDC,,,CJK-A,
䝐,豕阝月,DCSW,,,CJK-A,豕阝{右頭}月
䝑,豕立甲二,DIKS,,,CJK-A,
䝒,豕耳又二,DABS,,,CJK-A,
䝓,豕巛囗,DVNB,,,CJK-A,豕巛囗{鼠下}
䝔,豕艹口隹,DSLW,,,CJK-A,
䝕,豕耳耳耳,DAAA,,,CJK-A,
䝖,豸爪,YEki,,,CJK-A,
䝗,豸木,YFvi,,,CJK-A,
䝘,豸殳,YQhi,,,CJK-A,
䝙,豸匚乂,YGWa,,,CJK-A,
䝚,豸尸匕,YBRi,,,CJK-A,
䝛,豸皮,YVpi,,,CJK-A,
䝜,豸厶八夂,YVTE,,,CJK-A,
䝝,豸大丁口,YGAL,,,CJK-A,
䝞,豸虎,YMhi,,,CJK-A,
䝟,豸丰刀大,YDBG,,,CJK-A,
䝠,豸厂白小,YSEM,,,CJK-A,
䝡,豸卄一入,YSFR,,,CJK-A,
䝢,豸日罒又,YJMB,,,CJK-A,
䝣,豸氵匚木,YIGF,,,CJK-A,
䝤,豸大丷小,YGUM,,,CJK-A,
䝥,豸自二十,YTSD,,,CJK-A,
䝦,豸丿皿二,YQMS,,,CJK-A,
䝧,貝二,MWSr,,,CJK-A,貝{⼓同月}二
䝨,〢又貝,NBMb,,,CJK-A,
䝩,貝人彡,MTTi,,,CJK-A,
䝪,貝乙龰,MVNh,,,CJK-A,
䝫,貝,MQMo,,,CJK-A,貝{丿一同竹}{乍下同卜}
䝬,貝丶王,MOGv,,,CJK-A,
䝭,貝口,MWLv,,,CJK-A,貝{⼓同月}口
䝮,貝亠幺,MOCo,,,CJK-A,
䝯,貝也,MQCy,,,CJK-A,貝{丿一同竹}也
䝰,貝土寸,MHAc,,,CJK-A,
䝱,力力力貝,XXXM,,,CJK-A,
䝲,貝尸㇏⺀,MBOS,,,CJK-A,貝尸㇏{两点同二}
䝳,卜夕又貝,MRBM,,,CJK-A,
䝴,十口冖貝,DLYM,,,CJK-A,
䝵,貝甫,MFub,,,CJK-A,
䝶,貝亠口小,MOLM,,,CJK-A,
䝷,矢口貝,QLMb,,,CJK-A,
䝸,貝艹十又,MSDB,,,CJK-A,
䝹,貝宀夕乙,MORV,,,CJK-A,
䝺,文文貝,PPMb,,,CJK-A,
䝻,貝尸古,MBDg,,,CJK-A,
䝽,貝厂土土,MSHH,,,CJK-A,
䝾,一戈止貝,FGNM,,,CJK-A,
䝿,臼人貝,RTMb,,,CJK-A,
䞀,貝亻コ矢,MEBQ,,,CJK-A,貝亻{コ同又}矢
䞁,貝匚日女,MGJC,,,CJK-A,
䞂,貝而大,MSGd,,,CJK-A,
䞃,貝至夂,MHEh,,,CJK-A,
䞄,方也貝,OQCM,,,CJK-A,方{丿一同竹}也貝
䞅,貝辰口,MSLv,,,CJK-A,
䞆,貝小貝,MMMb,,,CJK-A,
䞇,土八土貝,HTHM,,,CJK-A,
䞈,貝爪,MEYw,,,CJK-A,貝爪{爲下}
䞉,貝丷夫貝,MUGM,,,CJK-A,
䞊,貝虍八目,MMTM,,,CJK-A,貝{虎头同虎}八目
䞋,貝立朩見,MIFM,,,CJK-A,
䞌,贝舌,KReb,,,CJK-A,
䞎,贝日日,KJJv,,,CJK-A,
䞏,贝田心,KJYv,,,CJK-A,
䞐,贝𡗗日,KGJv,,,CJK-A,
䞑,土八工,HTTF,,,CJK-A,土{介下同八}八工
䞒,土八口,HTTL,,,CJK-A,土{介下同八}八口
䞓,土八工,HTTF,,,CJK-A,土{介下同八}八工
䞔,土八毛,HTTR,,,CJK-A,土{介下同八}八毛
䞕,土八而,HTTS,,,CJK-A,土{介下同八}八而
䞖,走弋,DGyk,,,CJK-A,
䞗,走丿,DAQp,,,CJK-A,走{于下}丿
䞘,走乙,DQVi,,,CJK-A,走{丿一同竹}乙
䞙,走一巾,DFMj,,,CJK-A,
䞚,走十又,DDBu,,,CJK-A,
䞛,走丅乚乙,DAXV,,,CJK-A,
䞜,走不,DDuk,,,CJK-A,
䞝,走王丶,DGOd,,,CJK-A,
䞞,走弓,DVTb,,,CJK-A,走弓{介下同八}
䞟,走白,DEbk,,,CJK-A,
䞠,走石,DDvk,,,CJK-A,
䞡,走日一,DJFi,,,CJK-A,
䞢,走,DQMo,,,CJK-A,走{丿一同竹}{乍下同卜}
䞣,走斤丶,DEOd,,,CJK-A,
䞤,走口,DWLv,,,CJK-A,走{⼓同月}口
䞥,走月,DSWv,,,CJK-A,走{右頭}月
䞦,走夂口,DELv,,,CJK-A,
䞧,走一口,DEFL,,,CJK-A,走{𠂆同斤}一口
䞨,走土土,DHHv,,,CJK-A,
䞩,走合,DYek,,,CJK-A,
䞪,走匚斤,DGEj,,,CJK-A,
䞫,走彐丿口,DXQL,,,CJK-A,
䞬,走禾乃,DRVa,,,CJK-A,
䞭,走厶八夂,DVTE,,,CJK-A,
䞮,走人一朩,DTFF,,,CJK-A,
䞯,走爪子,DEBi,,,CJK-A,
䞰,走土八,DHTT,,,CJK-A,走土{介下同八}八
䞱,走八人口,DTTL,,,CJK-A,
䞲,走丿扌戈,DQAG,,,CJK-A,
䞳,走立口,DILv,,,CJK-A,
䞴,走土口,DWHL,,,CJK-A,走{⺆同月}土口
䞵,走又又又,DBBB,,,CJK-A,
䞶,走日,DJWT,,,CJK-A,走日{⼓同月}{两撇同彡}
䞷,走尸屮凵,DBXX,,,CJK-A,走尸{屮同凵}凵
䞸,走示口,DHLv,,,CJK-A,
䞹,走白王,DEGv,,,CJK-A,
䞺,走十目,DEDM,,,CJK-A,走{𠂆同斤}十目
䞻,走又用力,DBTX,,,CJK-A,走{マ同又}用力
䞼,走豕,DBDs,,,CJK-A,走{互中同母}豕
䞽,走十冖糸,DDYB,,,CJK-A,
䞾,走虎,DEMh,,,CJK-A,走{𠂆同斤}虎
䞿,宀八走,OSTD,,,CJK-A,宀{冓上同艹}八走
䟀,走羊工,DUFo,,,CJK-A,
䟁,走巛日木,DVJF,,,CJK-A,
䟂,走日罒又,DJMB,,,CJK-A,
䟃,走厶厶彡,DVVT,,,CJK-A,
䟄,走龶貝,DHMb,,,CJK-A,
䟅,車斤走,GEDk,,,CJK-A,
䟆,走日龷十,DJSD,,,CJK-A,
䟇,走幺幺人,DCCT,,,CJK-A,
䟈,走十戈王,DDGG,,,CJK-A,
䟉,走罒虫,DMWK,,,CJK-A,走罒{⼓同月}虫
䟊,走虍豕,DMDs,,,CJK-A,走{虎头同虎}豕
䟋,走冖厂言,DYSU,,,CJK-A,
䟌,走十戈隹,DDGW,,,CJK-A,
䟍,走自穴方,DTPO,,,CJK-A,
䟎,走夫夫貝,DGGM,,,CJK-A,
䟏,走白幺木,DECF,,,CJK-A,
䟐,走厂禾止,DSRN,,,CJK-A,
䟑,走合口冊,DYLN,,,CJK-A,
䟒,走艹口隹,DSLW,,,CJK-A,
䟓,足丁,NAn,,,CJK-A,
䟔,足卜,NMo,,,CJK-A,
䟕,足又丶,NBOd,,,CJK-A,
䟖,足山,NJs,,,CJK-A,
䟗,足七,NTAi,,,CJK-A,足{卬左同卯}七
䟘,足亠几,NOQj,,,CJK-A,
䟙,足七刀,NABd,,,CJK-A,
䟚,足一丌,NFAj,,,CJK-A,
䟛,足一巾,NFMj,,,CJK-A,
䟜,足冂人,NKTe,,,CJK-A,
䟝,足殳,NQh,,,CJK-A,
䟞,足小丿,NMQp,,,CJK-A,
䟟,斤丶足,EONv,,,CJK-A,
䟠,足戈乚,NGXi,,,CJK-A,
䟡,足七丶,NTAO,,,CJK-A,足{卬左同卯}七丶
䟢,足冖小,NYMa,,,CJK-A,
䟣,足木丶,NFOd,,,CJK-A,
䟤,足心丿,NYQp,,,CJK-A,
䟥,足矛,NXo,,,CJK-A,
䟦,足千又,NWBu,,,CJK-A,
䟧,足田,NJt,,,CJK-A,
䟨,足巳七,NXAi,,,CJK-A,
䟩,足土厶,NHVv,,,CJK-A,
䟪,足丿之,NQOk,,,CJK-A,
䟫,足,NNvs,,,CJK-A,{尚头同尚}足
䟬,足亻工,NEFo,,,CJK-A,
䟭,足,NQMo,,,CJK-A,足{丿一同竹}{乍下同卜}
䟮,足亻犬,NESa,,,CJK-A,
䟯,足舌,NRe,,,CJK-A,
䟰,足彳亍,NRAh,,,CJK-A,
䟱,足木冂,NFKg,,,CJK-A,
䟲,足亠厶儿,NOVQ,,,CJK-A,
䟳,足羽,NXu,,,CJK-A,
䟴,足辰,NSn,,,CJK-A,
䟵,足一水丶,NFKO,,,CJK-A,
䟶,足人人土,NTTH,,,CJK-A,
䟷,足扌斤,NAEj,,,CJK-A,
䟸,足月卄,NWSv,,,CJK-A,
䟹,足爪寸,NEAc,,,CJK-A,
䟺,足貝,NMb,,,CJK-A,
䟻,足人一朩,NTFF,,,CJK-A,
䟼,足一戈止,NFGN,,,CJK-A,
䟽,足亠厶,NOVQ,,,CJK-A,足亠厶{荒下同儿}
䟾,足又又又,NBBB,,,CJK-A,
䟿,足彐水,NXKh,,,CJK-A,
䠀,足尚,NNs,,,CJK-A,
䠁,足厶厶二,NVVS,,,CJK-A,
䠂,木木足,FFNv,,,CJK-A,
䠃,足一巾入,NFMR,,,CJK-A,
䠄,足冂龷八,NKST,,,CJK-A,
䠅,足囗禾,NNRh,,,CJK-A,
䠆,足長,NHa,,,CJK-A,
䠇,足尸屮凵,NBXX,,,CJK-A,足尸{屮同凵}凵
䠈,足彐水,NXKh,,,CJK-A,
䠉,足宀尸コ,NOBB,,,CJK-A,足宀尸{コ同又}
䠊,足非,NLi,,,CJK-A,
䠋,足十,NWDh,,,CJK-A,足{卑上同鬼}十
䠌,足水月,NKWv,,,CJK-A,
䠍,足尸二又,NBSB,,,CJK-A,
䠎,足尸至,NBHk,,,CJK-A,
䠏,足癶一大,NBFG,,,CJK-A,足{登上同又}一大
䠐,足目犬,NMSa,,,CJK-A,
䠑,足大土土,NGHH,,,CJK-A,
䠒,足古月,NDWv,,,CJK-A,
䠓,足丷酉,NUGo,,,CJK-A,
䠔,足䒑豕,NUDs,,,CJK-A,
䠕,足止匕木,NNRF,,,CJK-A,
䠖,足二欠口,NSEL,,,CJK-A,
䠗,足自犬,NTSa,,,CJK-A,
䠘,足乂匕,NRWR,,,CJK-A,足{囟框同向}乂匕
䠙,足亠丷方,NOUO,,,CJK-A,
䠚,足穴瓜,NPQu,,,CJK-A,
䠛,足爪缶,NEWo,,,CJK-A,
䠜,足艹耳,NSAr,,,CJK-A,
䠝,足口貝,NLMb,,,CJK-A,
䠞,足戊上小,NDKM,,,CJK-A,
䠟,土䒑十足,HUDN,,,CJK-A,
䠠,卄一儿足,SFQN,,,CJK-A,
䠡,足虍且,NMMq,,,CJK-A,足{虎头同虎}且
䠢,艹罒冖足,SMYN,,,CJK-A,
䠣,足巳巳八,NXXT,,,CJK-A,
䠤,足口口十,NLLD,,,CJK-A,
䠥,足丷巾夂,NUME,,,CJK-A,
䠦,足矢口日,NQLJ,,,CJK-A,
䠧,足尸耂日,NBHJ,,,CJK-A,
䠨,足冖厂言,NYSU,,,CJK-A,
䠩,足止戊小,NNDM,,,CJK-A,
䠪,足幺幺乚,NCCX,,,CJK-A,
䠫,足耳又二,NABS,,,CJK-A,
䠬,足癶一阝,NBFC,,,CJK-A,足{登上同又}一阝
䠭,足木口貝,NFLM,,,CJK-A,
䠮,足丷夫馬,NUGS,,,CJK-A,
䠯,足合口冊,NYLN,,,CJK-A,
䠰,足艹口隹,NSLW,,,CJK-A,
䠱,足尸水虫,NBKK,,,CJK-A,
䠲,身人丶又,WTOB,,,CJK-A,身人丶{マ同又}
䠳,身屮凵,WXXc,,,CJK-A,身{屮同凵}凵
䠴,身立,WIie,,,CJK-A,
䠵,身亻寸,WEAc,,,CJK-A,
䠶,身矢,WQie,,,CJK-A,
䠷,身儿二二,WQSS,,,CJK-A,
䠸,身大一丂,WGFS,,,CJK-A,
䠹,身亥,WOie,,,CJK-A,
䠺,身门口,WPLv,,,CJK-A,
䠻,身穴弓,WPVo,,,CJK-A,
䠼,身人一刂,WTFM,,,CJK-A,
䠽,身山一䒑,WJFU,,,CJK-A,
䠾,身門人,WKTe,,,CJK-A,
䠿,身口上貝,WLKM,,,CJK-A,
䡀,身亠囗一,WONF,,,CJK-A,
䡁,身立月,WIWM,,,CJK-A,身立月{龍右同卜}
䡂,車丩,GXcj,,,CJK-A,車{丩同凵}
䡃,車力,GXlj,,,CJK-A,
䡄,車几,GQjj,,,CJK-A,
䡅,車川,GQcj,,,CJK-A,
䡆,車八厶,GTVv,,,CJK-A,
䡇,車一兀,GFHw,,,CJK-A,
䡈,車乂乂,GWWa,,,CJK-A,
䡉,車亠几,GOQj,,,CJK-A,
䡊,車又,GEBu,,,CJK-A,車{𠂆同斤}又
䡋,車十又,GDBu,,,CJK-A,
䡌,車厶,GSVv,,,CJK-A,車{右頭}厶
䡍,車夫,GGuj,,,CJK-A,
䡎,車户,GOhj,,,CJK-A,
䡏,車弓厶,GVVv,,,CJK-A,
䡐,車宀匕,GORi,,,CJK-A,
䡑,車巳七,GXAi,,,CJK-A,
䡒,車田,GJtj,,,CJK-A,
䡓,彳車亍,RGAh,,,CJK-A,
䡔,車夕夕,GRRk,,,CJK-A,
䡕,車乙水一,GVKF,,,CJK-A,
䡖,車王八,GGTb,,,CJK-A,
䡗,工凡車,FQGj,,,CJK-A,
䡘,車田,GWJt,,,CJK-A,車{⼓同月}田
䡙,車丶艮,GOVn,,,CJK-A,
䡚,車白儿,GEQr,,,CJK-A,
䡛,車車,GGjj,,,CJK-A,
䡜,車土八土,GHTH,,,CJK-A,
䡝,車宀夕乙,GORV,,,CJK-A,
䡞,且八車,MTGj,,,CJK-A,
䡟,車十,GWDh,,,CJK-A,車{卑上同鬼}十
䡠,車卜貝,GMMb,,,CJK-A,
䡡,車匕匕白,GRRE,,,CJK-A,
䡢,車户冊,GONc,,,CJK-A,
䡣,車冖車,GYGj,,,CJK-A,
䡤,耂日車,HJGj,,,CJK-A,
䡥,車穴人口,GPTL,,,CJK-A,
䡦,車又又木,GBBF,,,CJK-A,
䡧,車烏,GYwj,,,CJK-A,
䡨,羊工車,UFGj,,,CJK-A,
䡩,車十且八,GDMT,,,CJK-A,
䡪,車户羽,GOXu,,,CJK-A,
䡫,車夂丰辶,GEDP,,,CJK-A,
䡬,車日罒又,GJMB,,,CJK-A,
䡭,車羊丑,GUBc,,,CJK-A,
䡮,車彳人龰,GRTN,,,CJK-A,
䡯,車夂心,GREY,,,CJK-A,車{囟框同向}夂心
䡰,士殳車,HBQG,,,CJK-A,士{眉上同尸}殳車
䡱,車匚口口,GGLL,,,CJK-A,
䡲,車口口十,GLLD,,,CJK-A,
䡳,車其斤,GDEj,,,CJK-A,
䡴,車立甲二,GIKS,,,CJK-A,
䡵,車䒑豕辶,GUDP,,,CJK-A,
䡶,車尸口辛,GBLO,,,CJK-A,
䡷,車艹土皿,GSHM,,,CJK-A,
䡸,車艹罒乚,GSMX,,,CJK-A,
䡹,車十冖龰,GDYN,,,CJK-A,
䡺,車丰丰心,GDDY,,,CJK-A,
䡻,車自穴方,GTPO,,,CJK-A,
䡼,車雨口口,GDLL,,,CJK-A,
䡽,車儿貝,GWQM,,,CJK-A,車⺧儿貝
䡾,車虍一犬,GMFS,,,CJK-A,車{虎头同虎}一犬
䡿,車雨口人,GDLT,,,CJK-A,
䢀,车乙,HQVi,,,CJK-A,车{丿一同竹}乙
䢁,车月,HWvc,,,CJK-A,
䢂,车立,HIic,,,CJK-A,
䢃,尸口辛乂,BLOW,,,CJK-A,
䢄,厶口木木,VLFF,,,CJK-A,
䢅,臼辰,RSnj,,,CJK-A,
䢆,冖几辰寸,YQSA,,,CJK-A,
䢇,宀几辰寸,OQSA,,,CJK-A,
䢈,辰合小日,SYMJ,,,CJK-A,
䢉,臼乂辰,RRWS,,,CJK-A,臼{囟框同向}乂辰
䢊,子辶,BPoi,,,CJK-A,
䢋,丌辶,APoj,,,CJK-A,
䢌,一巾辶,FMPo,,,CJK-A,
䢍,方辶,OPog,,,CJK-A,
䢎,一卄辶,FSPo,,,CJK-A,
䢏,⺀十辶,SDPo,,,CJK-A,{两点同二}十辶
䢐,且辶,MPoq,,,CJK-A,
䢑,七丶辶,TAOP,,,CJK-A,{卬左同卯}七丶辶
䢒,亠八乂辶,OTWP,,,CJK-A,
䢓,宀一辶,OFAP,,,CJK-A,宀一{于下}辶
䢔,合辶,YPoe,,,CJK-A,
䢕,戊一辶,DFPo,,,CJK-A,
䢖,彐辶,XAPo,,,CJK-A,彐キ辶
䢗,冂龷辶,KSPo,,,CJK-A,
䢘,宀寸辶,OAPo,,,CJK-A,
䢙,貝辶,MPob,,,CJK-A,
䢚,一日乂辶,FJWP,,,CJK-A,
