char,division,code,quick_simp,quick_trad,region,details
仞,亻刀丶,EBOd,ebo,ebo,GB2312,
仟,亻千,EWq,,,GB2312,
仡,亻乙,EQVi,eqv,eqv,GB2312,亻{丿一同竹}乙
代,亻弋,EGy,eg,,GB2312,
令,人丶又,TOBu,tob,,GB2312,人丶{マ同又}
以,乚丶人,XOTe,x,x,GB2312,
仨,亻三,EFn,,,GB2312,
仪,亻丶乂,EOWa,,,GB2312,
仫,亻丿厶,EQVv,,,GB2312,
们,亻门,EPn,ep,,GB2312,
仰,亻卩,ETXj,etx,etx,GB2312,亻{卬左同卯}卩
仲,亻口丨,ELNs,eln,eln,GB2312,
仳,亻匕匕,ERRi,,,GB2312,
仵,亻十,EQDh,eqd,eqd,GB2312,亻{丿一同竹}十
件,亻牛,EWn,ew,ew,GB2312,
价,亻人,ETTb,et,,GB2312,亻人{介下同八}
任,亻壬,EEe,ee,ee,GB2312,
份,亻八刀,ETBd,,etb,GB2312,
仿,亻方,EOg,,,GB2312,
企,人止,TNie,tni,tni,GB2312,
伉,亻亠几,EOQj,eoq,eoq,GB2312,
伊,亻彐丿,EXQp,exq,exq,GB2312,
伍,亻一,EFCi,efc,efc,GB2312,亻一{五下同韋}
伎,亻十又,EDBu,edb,edb,GB2312,
伏,亻犬,ESa,,,GB2312,
伐,亻戈,EGg,,,GB2312,
休,亻木,EFv,,ef,GB2312,
众,人人人,TTTe,ttt,,GB2312,
优,亻尤,EDo,,,GB2312,
伙,亻火,EUv,,,GB2312,
会,人二厶,TSVv,ts,tsv,GB2312,
伛,亻匚乂,EGWa,egw,egw,GB2312,
伞,人丷十,TUDh,tud,tud,GB2312,
伟,亻乙,EAVi,eav,eav,GB2312,亻キ乙
传,亻二乚丶,ESXO,es,esx,GB2312,
伢,亻牙,EHy,,,GB2312,
伤,亻力,EQXl,eqx,eqx,GB2312,亻{丿一同竹}力
伥,亻长,ETh,,,GB2312,
伦,亻人匕,ETRi,etr,etr,GB2312,
伧,亻人乙,ETVi,etv,etv,GB2312,
伪,亻丶力丶,EOXO,eox,eox,GB2312,
伫,亻宀一,EOFi,,,GB2312,
伯,亻白,EEb,,,GB2312,
估,亻古,EDg,,,GB2312,
伲,亻尸匕,EBRi,ebr,ebr,GB2312,
伴,亻丷,EUAv,eua,eua,GB2312,亻丷キ
伶,亻人丶又,ETOB,eto,eto,GB2312,亻人丶{マ同又}
伸,亻申,EKe,ek,,GB2312,
伺,亻乙一口,EVFL,evf,evf,GB2312,
似,亻乚丶人,EXOT,exo,ex,GB2312,
伽,亻力口,EXLv,,,GB2312,
佃,亻田,EJt,,,GB2312,
但,亻日一,EJFi,ej,ej,GB2312,
位,亻立,EIi,ei,ei,GB2312,
低,亻七丶,ETAO,eta,et,GB2312,亻{卬左同卯}七丶
住,亻丶王,EOGv,eo,eo,GB2312,
佐,亻工,ESFo,esf,esf,GB2312,亻{右頭}工
佑,亻口,ESLv,esl,esl,GB2312,亻{右頭}口
体,亻木一,EFFi,eff,eff,GB2312,
何,亻丁口,EALv,ea,ea,GB2312,
佗,亻宀匕,EORi,eor,eor,GB2312,
佘,人示,THse,ths,ths,GB2312,
余,人一朩,TFFv,tff,,GB2312,
佚,亻丿夫,EQGu,eqg,eqg,GB2312,
佛,亻弓,EVTb,evt,ev,GB2312,亻弓{介下同八}
作,亻,EQMo,eq,eq,GB2312,亻{丿一同竹}{乍下同卜}
佝,亻口,EWLv,,,GB2312,亻{⼓同月}口
佞,亻二女,ESCv,esc,,GB2312,
佟,亻夂⺀,EESr,ees,ees,GB2312,亻夂{两点同二}
你,亻冖小,EYMa,ey,ey,GB2312,
佣,亻用,ETn,,,GB2312,
佤,亻瓦,EAw,,,GB2312,
佥,人二ッ,TSIv,,,GB2312,人二{三點同氵}
佧,亻上卜,EKMo,,,GB2312,
佩,亻几一巾,EQFM,eqf,eqf,GB2312,
佬,亻耂匕,EHRi,ehr,ehr,GB2312,
佯,亻羊,EUg,,,GB2312,
佰,亻日,EDJv,edj,edj,GB2312,亻{丆同石}日
佳,亻土土,EHHv,,,GB2312,
佴,亻耳,EAr,,,GB2312,
佶,亻士口,EHLv,ehl,ehl,GB2312,
佻,亻儿二二,EQSS,eqs,eqs,GB2312,
佼,亻亠八乂,EOTW,,,GB2312,
佾,亻八月,ETWv,etw,etw,GB2312,
使,亻一口乂,EFLW,,efl,GB2312,
侃,亻口,ELQr,elq,elq,GB2312,亻口{荒下同儿}
侄,亻至,EHk,,,GB2312,
侈,亻夕夕,ERRk,err,err,GB2312,
侉,亻大一丂,EGFS,egf,egf,GB2312,
例,亻歹刂,EDMd,,edm,GB2312,
侍,亻土寸,EHAc,,,GB2312,
侏,亻丿未,EQHe,eqh,eqh,GB2312,
侑,亻月,ESWv,,,GB2312,亻{右頭}月
侔,亻厶牛,EVWn,evw,evw,GB2312,
侗,亻冂一口,EKFL,,,GB2312,
供,亻龷八,ESTb,est,est,GB2312,
依,亻亠𧘇,EOWy,eow,eow,GB2312,
侠,亻夫丷,EGUh,,,GB2312,
侣,亻口口,ELLv,ell,ell,GB2312,
侥,亻七丿兀,EAQH,eaq,eaq,GB2312,
侦,亻卜贝,EMKb,emk,emk,GB2312,
侧,亻贝刂,EKMd,ekm,ekm,GB2312,
侨,亻夭,EETb,eet,eet,GB2312,亻夭{介下同八}
侩,亻人二厶,ETSV,,,GB2312,
侪,亻文,EPTb,ept,ept,GB2312,亻文{介下同八}
侬,亻冖𧘇,EYWy,eyw,,GB2312,
侮,亻母,EQBm,eqb,,GB2312,亻{丿一同竹}母
侯,亻コ矢,EBQi,ebq,ebq,GB2312,亻{コ同又}矢
侵,亻彐冖又,EXYB,exy,exy,GB2312,
便,亻一日乂,EFJW,efj,,GB2312,
促,亻足,ENv,en,,GB2312,
俄,亻丿扌戈,EQAG,eqa,eqa,GB2312,
俅,亻一水丶,EFKO,,,GB2312,
俊,亻厶八夂,EVTE,,evt,GB2312,
俎,人人且,TTMq,,ttm,GB2312,
俏,亻小月,EMWv,emw,emw,GB2312,
俐,亻禾刂,ERMd,erm,,GB2312,
俑,亻又用,EBTn,ebt,ebt,GB2312,亻{マ同又}用
俗,亻八人口,ETTL,ett,ett,GB2312,
俘,亻爪子,EEBi,,,GB2312,
俚,亻甲二,EKSr,eks,,GB2312,
俜,亻由丂,EKSk,,,GB2312,
保,亻口木,ELFv,el,elf,GB2312,
俞,人一月刂,TFWM,,,GB2312,
俟,亻厶矢,EVQi,evq,evq,GB2312,
信,亻言,EUa,eu,eu,GB2312,
俣,亻口一大,ELFG,,,GB2312,
俦,亻丰寸,EDAc,eda,eda,GB2312,
俨,亻丌䒑丿,EAUQ,eau,eau,GB2312,
俩,亻一冂人,EFKT,efk,,GB2312,
俪,亻一冂冂,EFKK,,,GB2312,亻一{冂丶同冂}{冂丶同冂}
俭,亻人二ッ,ETSI,ets,ets,GB2312,亻人二{三點同氵}
修,亻丨夂彡,ENET,ene,ene,GB2312,
俯,亻广亻寸,EUEA,eue,eue,GB2312,
俱,亻且八,EMTb,emt,emt,GB2312,
俳,亻非,ELi,,,GB2312,
俸,亻𡗗,EGAv,,,GB2312,亻𡗗キ
俺,亻大电,EGKd,egk,egk,GB2312,
俾,亻十,EWDh,ewd,ewd,GB2312,亻{卑上同鬼}十
